Here’s a comprehensive opcode table for the **6502 / 65C02** processor architecture. This table includes 256 entries detailing the opcode, mnemonic, addressing mode, and notes for undocumented opcodes.

| **Opcode** | **6502 Mnemonic** | **65C02 Mnemonic** | **Addressing Mode**                    | **Comments**            |
|------------|-------------------|---------------------|----------------------------------------|-------------------------|
| `00`       | `BRK`             | `BRK`               | Implicit                               | Break                   |
| `01`       | `ORA`             | `ORA`               | Indexed Indirect                       |                         |
| `02`       | `NOP`             | `NOP`               | Implicit                               |                         |
| `03`       | `SLO`             | `SLO`               | Indexed Indirect                       | Shift left then OR      |
| `04`       | `NOP`             | `NOP`               | Zero Page                              |                         |
| `05`       | `ORA`             | `ORA`               | Zero Page                              |                         |
| `06`       | `ASL`             | `ASL`               | Zero Page                              |                         |
| `07`       | `SLO`             | `SLO`               | Zero Page                              | Shift left then OR      |
| `08`       | `PHP`             | `PHP`               | Implicit                               | Push processor status    |
| `09`       | `ORA`             | `ORA`               | Immediate                              |                         |
| `0A`       | `ASL`             | `ASL`               | Accumulator                            |                         |
| `0B`       | `ANC`             | `ANC`               | Implicit                               | AND with carry          |
| `0C`       | `NOP`             | `NOP`               | Absolute                               |                         |
| `0D`       | `ORA`             | `ORA`               | Absolute                               |                         |
| `0E`       | `ASL`             | `ASL`               | Absolute                               |                         |
| `0F`       | `SLO`             | `SLO`               | Absolute                               | Shift left then OR      |
| `10`       | `BPL`             | `BPL`               | Relative                               | Branch if plus         |
| `11`       | `ORA`             | `ORA`               | Indirect Indexed                       |                         |
| `12`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `13`       | `SLO`             | `SLO`               | Indirect Indexed                       | Shift left then OR      |
| `14`       | `NOP`             | `NOP`               | Zero Page                              | Undocumented            |
| `15`       | `ORA`             | `ORA`               | Zero Page, X                           |                         |
| `16`       | `ASL`             | `ASL`               | Zero Page, X                           |                         |
| `17`       | `SLO`             | `SLO`               | Zero Page, X                           | Shift left then OR      |
| `18`       | `CLC`             | `CLC`               | Implicit                               | Clear carry             |
| `19`       | `ORA`             | `ORA`               | Absolute, Y                            |                         |
| `1A`       | `NOP`             | `NOP`               | Implicit                               |                         |
| `1B`       | `SLO`             | `SLO`               | Absolute, Y                            | Shift left then OR      |
| `1C`       | `NOP`             | `NOP`               | Absolute, X                            | Undocumented            |
| `1D`       | `ORA`             | `ORA`               | Absolute, X                            |                         |
| `1E`       | `ASL`             | `ASL`               | Absolute, X                            |                         |
| `1F`       | `SLO`             | `SLO`               | Absolute, X                            | Shift left then OR      |
| `20`       | `JSR`             | `JSR`               | Absolute                               | Jump to subroutine      |
| `21`       | `AND`             | `AND`               | Indexed Indirect                       |                         |
| `22`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `23`       | `RLA`             | `RLA`               | Indexed Indirect                       | Rotate left then AND    |
| `24`       | `BIT`             | `BIT`               | Zero Page                              |                         |
| `25`       | `AND`             | `AND`               | Zero Page                              |                         |
| `26`       | `ROL`             | `ROL`               | Zero Page                              | Rotate left             |
| `27`       | `RLA`             | `RLA`               | Zero Page                              | Rotate left then AND    |
| `28`       | `PLP`             | `PLP`               | Implicit                               | Pull processor status    |
| `29`       | `AND`             | `AND`               | Immediate                              |                         |
| `2A`       | `ROL`             | `ROL`               | Accumulator                            | Rotate left             |
| `2B`       | `ANC`             | `ANC`               | Immediate                              | AND with carry          |
| `2C`       | `BIT`             | `BIT`               | Absolute                               |                         |
| `2D`       | `AND`             | `AND`               | Absolute                               |                         |
| `2E`       | `ROL`             | `ROL`               | Absolute                               | Rotate left             |
| `2F`       | `RLA`             | `RLA`               | Absolute                               | Rotate left then AND    |
| `30`       | `BMI`             | `BMI`               | Relative                               | Branch if minus        |
| `31`       | `AND`             | `AND`               | Indirect Indexed                       |                         |
| `32`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `33`       | `RLA`             | `RLA`               | Indirect Indexed                       | Rotate left then AND    |
| `34`       | `NOP`             | `NOP`               | Zero Page                              | Undocumented            |
| `35`       | `AND`             | `AND`               | Zero Page, X                           |                         |
| `36`       | `ROL`             | `ROL`               | Zero Page, X                           | Rotate left             |
| `37`       | `RLA`             | `RLA`               | Zero Page, X                           | Rotate left then AND    |
| `38`       | `SEC`             | `SEC`               | Implicit                               | Set carry               |
| `39`       | `AND`             | `AND`               | Absolute, Y                            |                         |
| `3A`       | `NOP`             | `NOP`               | Implicit                               |                         |
| `3B`       | `RLA`             | `RLA`               | Absolute, Y                            | Rotate left then AND    |
| `3C`       | `NOP`             | `NOP`               | Absolute, X                            | Undocumented            |
| `3D`       | `AND`             | `AND`               | Absolute, X                            |                         |
| `3E`       | `ROL`             | `ROL`               | Absolute, X                            | Rotate left             |
| `3F`       | `RLA`             | `RLA`               | Absolute, X                            | Rotate left then AND    |
| `40`       | `RTI`             | `RTI`               | Implicit                               | Return from interrupt    |
| `41`       | `EOR`             | `EOR`               | Indexed Indirect                       |                         |
| `42`       | `NOP`             | `NOP`               | Implicit                               | Undocumented            |
| `43`       | `SRE`             | `SRE`               | Indexed Indirect                       | Shift right then EOR    |
| `44`       | `NOP`             | `NOP`               | Zero Page                              | Undocumented            |
| `45`       | `EOR`             | `EOR`               | Zero Page                              |                         |
| `46`       | `LSR`             | `LSR`               | Zero Page                              | Shift right             |
| `47`       | `SRE`             | `SRE`               | Zero Page                              | Shift right then EOR    |
| `48`       | `PHA`             | `PHA`               | Implicit                               | Push accumulator        |
| `49`       | `EOR`             | `EOR`               | Immediate                              |                         |
| `4A`       | `LSR`             | `LSR`               | Accumulator                            | Shift right             |
| `4B`       | `ALR`             | `ALR`               | Immediate                              | AND with carry, LSR     |
| `4C`       | `JMP`             | `JMP`               | Absolute                               | Jump                    |
| `4D`       | `EOR`             | `EOR`               | Absolute                               |                         |
| `4E`       | `LSR`             | `LSR`               | Absolute                               | Shift right             |
| `4F`       | `SRE`             | `SRE`               | Absolute                               | Shift right then EOR    |
